experiment,run_id,step,states,paths,path_lengths,rooms,objects
plr-c,g6y8ubcq,510,5.190114,1.4210848,3.8212457,4.9794364,14.137146
plr-c,g6y8ubcq,610,5.328709,1.4706938,3.9301586,4.721158,13.331074
plr-c,g6y8ubcq,710,5.307265,1.5000529,3.8854651,5.125325,14.531883
plr-c,g6y8ubcq,810,5.259339,1.5397508,3.8144608,5.1723585,14.4837675
plr-c,g6y8ubcq,910,5.3650327,1.5756598,3.8989635,5.2520614,14.78841
plr-c,g6y8ubcq,1010,5.36378,1.4719169,3.9650857,5.0571632,14.475721
plr-c,g6y8ubcq,1110,5.3642645,1.6702523,3.827261,5.2087355,14.938711
plr-c,g6y8ubcq,1210,5.3112745,1.6315569,3.805347,5.2956862,14.6170225
plr-c,g6y8ubcq,1310,5.4046316,1.6583431,3.8733616,5.231736,14.2891035
plr-c,g6y8ubcq,1410,5.307555,1.7301912,3.735028,5.156413,14.95531
plr-c,g6y8ubcq,1510,5.3586016,1.7262336,3.792201,5.3304715,15.351194
plr-c,g6y8ubcq,1610,5.3217726,1.6656924,3.7830424,5.359464,15.351519
plr-c,g6y8ubcq,1710,5.430229,1.7877722,3.8256106,5.296754,15.391614
plr-c,g6y8ubcq,1810,5.367296,1.8268651,3.7320194,5.0907755,14.940126
plr-c,g6y8ubcq,1910,5.433603,1.7546377,3.849033,5.1663904,15.163284
plr-c,g6y8ubcq,2010,5.4504843,1.7781951,3.872463,5.2547574,15.291024
plr-c,g6y8ubcq,2110,5.4062614,1.6893654,3.8774574,5.249421,15.516051
plr-c,g6y8ubcq,2210,5.4578285,1.6459897,3.9481592,5.3634024,15.475935
plr-c,g6y8ubcq,2310,5.3688583,1.6349113,3.8788903,5.437939,15.340298
plr-c,g6y8ubcq,2410,5.466695,1.6366688,3.9681816,5.40446,15.363242
plr-c,g6y8ubcq,2510,5.4578524,1.7940543,3.8594847,5.352495,15.02698
plr-c,g6y8ubcq,2610,5.373705,1.6683294,3.8407338,5.4651303,15.468496
plr-c,g6y8ubcq,2710,5.4476585,1.7880943,3.818078,5.4164486,15.421303
plr-c,g6y8ubcq,2810,5.443959,1.7210803,3.861967,5.469368,15.461962
plr-c,g6y8ubcq,2910,5.44156,1.7222692,3.8559008,5.4490438,15.507011
plr-c,g6y8ubcq,3000,5.4592385,1.630199,3.9585826,5.341403,15.463094
plr-c,39wqm7z0,10,3.4627185,1.2396853,2.2349823,2.5630116,6.104231
plr-c,39wqm7z0,110,4.7290196,1.3251054,3.4178271,4.2964354,11.483177
plr-c,39wqm7z0,210,4.997031,1.5530378,3.5043674,4.9805202,12.783653
plr-c,39wqm7z0,310,5.1430807,1.3861136,3.791116,4.8057218,13.021565
plr-c,39wqm7z0,410,5.2478456,1.4773662,3.8270445,4.972139,13.3472595
plr-c,39wqm7z0,510,5.2996645,1.5013826,3.9045131,4.8428116,13.265827
plr-c,39wqm7z0,610,5.2743692,1.5309925,3.8563638,4.896979,13.591796
plr-c,39wqm7z0,710,5.355322,1.5289907,3.9061491,5.007002,13.888669
plr-c,39wqm7z0,810,5.344782,1.5368562,3.9071712,5.0689125,13.872019
plr-c,39wqm7z0,910,5.3381257,1.4918115,3.9142613,5.236488,14.574982
plr-c,39wqm7z0,1010,5.3119235,1.5009845,3.8838148,5.301786,15.42519
plr-c,39wqm7z0,1110,5.3653984,1.5099137,3.9388065,5.257898,15.076534
plr-c,39wqm7z0,1210,5.316307,1.5713674,3.8382146,5.344224,15.447613
plr-c,39wqm7z0,1310,5.3604817,1.4843342,3.9359658,5.3032866,14.927972
plr-c,39wqm7z0,1410,5.3657293,1.579698,3.8671927,5.2485213,15.015632
plr-c,39wqm7z0,1510,5.32568,1.5750211,3.832911,5.3769264,15.34749
plr-c,39wqm7z0,1610,5.302697,1.5350161,3.8444662,5.3437824,14.996891
plr-c,39wqm7z0,1710,5.352624,1.5608675,3.8648481,5.3014574,15.143113
plr-c,39wqm7z0,1810,5.3827267,1.5551486,3.92251,5.322236,15.032972
plr-c,39wqm7z0,1910,5.4021635,1.5650723,3.9072938,5.3328815,15.119629
plr-c,39wqm7z0,2010,5.423335,1.7580712,3.780739,5.3357396,14.975067
plr-c,39wqm7z0,2110,5.4328313,1.7685778,3.8124585,5.3805904,15.54974
plr-c,39wqm7z0,2210,5.4053736,1.8541994,3.7758589,5.386523,15.533207
plr-c,39wqm7z0,2310,5.367918,1.7494528,3.786148,5.465627,15.831238
plr-c,39wqm7z0,2410,5.3763328,1.8033586,3.779607,5.425556,15.966548
plr-c,39wqm7z0,2510,5.367844,1.7223942,3.7571537,5.472849,16.054602
plr-c,39wqm7z0,2610,5.3590307,1.7417994,3.7534492,5.5029116,16.137714
plr-c,39wqm7z0,2710,5.3462534,1.6644173,3.7868547,5.476441,16.174564
plr-c,39wqm7z0,2810,5.383051,1.7256892,3.7604136,5.4927135,15.863588
plr-c,39wqm7z0,2910,5.405404,1.783654,3.7495136,5.489663,15.831167
plr-c,39wqm7z0,3000,5.3921537,1.7298892,3.7986467,5.5183067,15.766828
