experiment,run_id,step,states,rooms,objects
plr-c,7mijtj8l,1810,5.5595665,5.354145,15.446795
plr-c,7mijtj8l,1910,5.5821795,5.347001,15.454164
plr-c,7mijtj8l,2000,5.584858,5.444616,15.701942
plr-c,qb9k2mca,10,3.1411963,2.6678436,6.910439
plr-c,qb9k2mca,110,4.6884384,3.910091,10.266487
plr-c,qb9k2mca,210,5.0932484,4.844473,12.536451
plr-c,qb9k2mca,310,5.2582016,4.99072,12.736565
plr-c,qb9k2mca,410,5.323569,5.032983,13.315609
plr-c,qb9k2mca,510,5.373745,5.1420374,13.863302
plr-c,qb9k2mca,610,5.4038515,5.137622,14.348942
plr-c,qb9k2mca,710,5.4370403,5.0779576,14.78699
plr-c,qb9k2mca,810,5.4460344,5.0114493,14.654718
plr-c,qb9k2mca,910,5.4367075,5.1712193,15.032354
plr-c,qb9k2mca,1010,5.4603624,5.1746697,14.989656
plr-c,qb9k2mca,1110,5.458992,5.252459,15.204563
plr-c,qb9k2mca,1210,5.502153,5.2859592,15.280947
plr-c,qb9k2mca,1310,5.531025,5.11399,14.819418
plr-c,qb9k2mca,1410,5.5620255,5.3529873,15.670998
plr-c,qb9k2mca,1510,5.5718327,5.4323206,15.798818
plr-c,qb9k2mca,1610,5.6110277,5.5249634,16.097153
plr-c,qb9k2mca,1710,5.599613,5.4812965,15.5548315
plr-c,qb9k2mca,1810,5.5800586,5.515697,16.249603
plr-c,qb9k2mca,1910,5.606804,5.584175,16.26365
plr-c,qb9k2mca,2000,5.593537,5.584221,16.46244
plr-c,v8ew0g6m,10,4.0652747,1.6910758,4.2895126
plr-c,v8ew0g6m,110,4.556779,4.05884,9.95734
plr-c,v8ew0g6m,210,5.0029187,4.628303,12.519755
plr-c,v8ew0g6m,310,5.2290697,4.975379,13.52213
plr-c,v8ew0g6m,410,5.268108,5.1036296,14.1249275
plr-c,v8ew0g6m,510,5.271343,5.1794996,14.581541
plr-c,v8ew0g6m,610,5.418294,5.0880146,14.707211
plr-c,v8ew0g6m,710,5.490619,5.2399774,14.876431
plr-c,v8ew0g6m,810,5.4132614,5.3345914,15.266113
plr-c,v8ew0g6m,910,5.508185,5.4414787,15.467367
plr-c,v8ew0g6m,1010,5.4722652,5.423662,15.270997
plr-c,v8ew0g6m,1110,5.446169,5.4802666,15.623297
plr-c,v8ew0g6m,1210,5.4982095,5.5023575,15.688795
plr-c,v8ew0g6m,1310,5.5462685,5.460272,15.175802
plr-c,v8ew0g6m,1410,5.53938,5.5127516,15.320435
plr-c,v8ew0g6m,1510,5.5668716,5.5847054,15.725843
plr-c,v8ew0g6m,1610,5.557059,5.5603228,15.787481
plr-c,v8ew0g6m,1710,5.5924983,5.577987,15.712227
plr-c,v8ew0g6m,1810,5.569461,5.588925,16.037275
plr-c,v8ew0g6m,1910,5.5443344,5.599386,15.952906
plr-c,v8ew0g6m,2000,5.565063,5.6395745,16.306797
accel_full-i,qnmbu01y,10,3.204437,3.2846253,8.676254
accel_full-i,qnmbu01y,110,3.285791,4.469634,9.663567
accel_full-i,qnmbu01y,210,4.1114917,4.8119745,12.060962
accel_full-i,qnmbu01y,310,4.3067436,5.145073,13.09388
accel_full-i,qnmbu01y,410,4.502053,5.205134,12.960754
accel_full-i,qnmbu01y,510,4.504587,5.3504386,14.450414
accel_full-i,qnmbu01y,610,4.6034446,5.30976,14.800387
accel_full-i,qnmbu01y,710,4.8214073,5.5301876,14.913578
accel_full-i,qnmbu01y,810,4.7700586,5.391639,15.232088
accel_full-i,qnmbu01y,910,4.7535295,5.4311895,15.432628
accel_full-i,qnmbu01y,1010,4.936201,5.5883293,15.681019
accel_full-i,qnmbu01y,1110,4.9592886,5.5190263,15.366166
accel_full-i,qnmbu01y,1210,5.058134,5.59275,15.525893
accel_full-i,qnmbu01y,1310,5.1298294,5.6204667,14.998989
accel_full-i,qnmbu01y,1410,5.085925,5.611823,14.943479
accel_full-i,qnmbu01y,1510,5.0481787,5.638112,14.943471
accel_full-i,qnmbu01y,1610,5.072403,5.609822,15.18819
accel_full-i,qnmbu01y,1710,5.0790234,5.659747,14.916552
accel_full-i,qnmbu01y,1810,5.179204,5.5706286,14.453972
accel_full-i,qnmbu01y,1910,5.0962996,5.6277704,14.571925
accel_full-i,qnmbu01y,2000,5.1170907,5.684697,15.009793
accel_full-i,uqvjyc0t,10,3.1835616,2.886366,7.5540776
accel_full-i,uqvjyc0t,110,3.2779908,4.7142544,10.893112
accel_full-i,uqvjyc0t,210,4.06766,4.9611464,11.789383
accel_full-i,uqvjyc0t,310,4.4336777,5.1237597,12.810159
accel_full-i,uqvjyc0t,410,4.567357,5.2426953,13.158157
accel_full-i,uqvjyc0t,510,4.57199,5.395596,13.930332
accel_full-i,uqvjyc0t,610,4.628557,5.4762173,14.719952
accel_full-i,uqvjyc0t,710,4.9210815,5.530533,15.609797
accel_full-i,uqvjyc0t,810,4.97859,5.3558793,14.6535
accel_full-i,uqvjyc0t,910,4.9714065,5.5547323,15.588109
accel_full-i,uqvjyc0t,1010,5.023176,5.533615,15.35111
accel_full-i,uqvjyc0t,1110,5.0045023,5.5039625,15.565441
accel_full-i,uqvjyc0t,1210,5.1038527,5.602647,15.745156
accel_full-i,uqvjyc0t,1310,5.084481,5.631689,16.266808
accel_full-i,uqvjyc0t,1410,5.1511245,5.5534577,15.618857
accel_full-i,uqvjyc0t,1510,5.23672,5.5905743,15.993336
accel_full-i,uqvjyc0t,1610,5.159398,5.505869,15.294673
accel_full-i,uqvjyc0t,1710,5.2133627,5.6502247,15.213044
accel_full-i,uqvjyc0t,1810,5.3037806,5.6272984,15.767637
