algorithm;run_id;step;num_valid;num_total;percent
rw-plr-c;39wqm7z0;1010;49834;50000;0.9966800212860107
rw-plr-c;39wqm7z0;10;27900;32768;0.8514404296875
rw-plr-c;39wqm7z0;1510;49818;50000;0.9963600039482117
rw-plr-c;39wqm7z0;2010;49794;50000;0.9958800077438354
rw-plr-c;39wqm7z0;2510;49805;50000;0.9961000084877014
rw-plr-c;39wqm7z0;3000;49812;50000;0.9962400197982788
rw-plr-c;39wqm7z0;510;49834;50000;0.9966800212860107
rw-plr-c;g6y8ubcq;1010;49818;50000;0.9963600039482117
rw-plr-c;g6y8ubcq;1510;49804;50000;0.9960799813270569
rw-plr-c;g6y8ubcq;2010;49812;50000;0.9962400197982788
rw-plr-c;g6y8ubcq;2510;49798;50000;0.995959997177124
rw-plr-c;g6y8ubcq;3000;49804;50000;0.9960799813270569
rw-plr-c;g6y8ubcq;510;49816;50000;0.9963200092315674
rw-plr-c;n860hpj8;1010;49824;50000;0.9964799880981445
rw-plr-c;n860hpj8;1510;49834;50000;0.9966800212860107
rw-plr-c;n860hpj8;2010;49797;50000;0.9959400296211243
rw-plr-c;n860hpj8;2510;49754;50000;0.9950799942016602
rw-plr-c;n860hpj8;3000;49743;50000;0.9948599934577942
rw-plr-c;n860hpj8;510;49811;50000;0.9962199926376343
rw-plr-c;pgj5zue9;1010;49836;50000;0.996720016002655
rw-plr-c;pgj5zue9;10;31468;36864;0.8536241054534912
rw-plr-c;pgj5zue9;1510;49810;50000;0.9962000250816345
rw-plr-c;pgj5zue9;2010;49809;50000;0.99617999792099
rw-plr-c;pgj5zue9;2510;49779;50000;0.9955800175666809
rw-plr-c;pgj5zue9;3000;49806;50000;0.9961199760437012
rw-plr-c;pgj5zue9;510;49842;50000;0.9968400001525879
rw-plr-c;xg0htta8;1010;49809;50000;0.99617999792099
rw-plr-c;xg0htta8;10;31353;36864;0.8505045771598816
rw-plr-c;xg0htta8;1510;49784;50000;0.9956799745559692
rw-plr-c;xg0htta8;2010;49762;50000;0.9952399730682373
rw-plr-c;xg0htta8;2510;49787;50000;0.9957399964332581
rw-plr-c;xg0htta8;3000;49804;50000;0.9960799813270569
rw-plr-c;xg0htta8;510;49800;50000;0.9959999918937683
rw-plr-i;1y14r2wf;1010;47700;50000;0.9539999961853027
rw-plr-i;1y14r2wf;10;1085;28672;0.037841796875
rw-plr-i;1y14r2wf;1510;49839;50000;0.9967799782752991
rw-plr-i;1y14r2wf;2010;49872;50000;0.997439980506897
rw-plr-i;1y14r2wf;2510;49877;50000;0.9975399971008301
rw-plr-i;1y14r2wf;3000;49887;50000;0.9977399706840515
rw-plr-i;1y14r2wf;510;25035;50000;0.5006999969482422
rw-plr-i;6ndfupqb;1010;48771;50000;0.9754199981689453
rw-plr-i;6ndfupqb;10;1577;40960;0.03850097581744194
rw-plr-i;6ndfupqb;1510;49804;50000;0.9960799813270569
rw-plr-i;6ndfupqb;2010;49831;50000;0.9966199994087219
rw-plr-i;6ndfupqb;2510;49852;50000;0.9970399737358093
rw-plr-i;6ndfupqb;3000;49874;50000;0.9974799752235413
rw-plr-i;6ndfupqb;510;25140;50000;0.5027999877929688
rw-plr-i;ck67hg9v;1010;46911;50000;0.9382200241088867
rw-plr-i;ck67hg9v;10;1309;32768;0.039947509765625
rw-plr-i;ck67hg9v;1510;49798;50000;0.995959997177124
rw-plr-i;ck67hg9v;2010;49852;50000;0.9970399737358093
rw-plr-i;ck67hg9v;2510;49862;50000;0.9972400069236755
rw-plr-i;ck67hg9v;3000;49879;50000;0.9975799918174744
rw-plr-i;ck67hg9v;510;23949;50000;0.47898000478744507
rw-plr-i;np5n4zlf;1010;48620;50000;0.9724000096321106
rw-plr-i;np5n4zlf;10;1408;36864;0.0381944440305233
rw-plr-i;np5n4zlf;1510;49804;50000;0.9960799813270569
rw-plr-i;np5n4zlf;2010;49812;50000;0.9962400197982788
rw-plr-i;np5n4zlf;2510;49840;50000;0.9968000054359436
rw-plr-i;np5n4zlf;3000;49842;50000;0.9968400001525879
rw-plr-i;np5n4zlf;510;24517;50000;0.490339994430542
rw-plr-i;yit2gtjp;1010;48052;50000;0.9610400199890137
rw-plr-i;yit2gtjp;10;1504;36864;0.0407986119389534
rw-plr-i;yit2gtjp;1510;49862;50000;0.9972400069236755
rw-plr-i;yit2gtjp;2010;49879;50000;0.9975799918174744
rw-plr-i;yit2gtjp;2510;49893;50000;0.9978600144386292
rw-plr-i;yit2gtjp;3000;49915;50000;0.9983000159263611
rw-plr-i;yit2gtjp;510;23358;50000;0.4671599864959717
seq-plr-c;7mijtj8l;1010;49851;50000;0.9970200061798096
seq-plr-c;7mijtj8l;10;30869;36864;0.8373752236366272
seq-plr-c;7mijtj8l;1510;49800;50000;0.9959999918937683
seq-plr-c;7mijtj8l;2000;49751;50000;0.9950199723243713
seq-plr-c;7mijtj8l;510;49883;50000;0.9976599812507629
seq-plr-c;qb9k2mca;1010;49804;50000;0.9960799813270569
seq-plr-c;qb9k2mca;10;27419;32768;0.836761474609375
seq-plr-c;qb9k2mca;1510;49814;50000;0.9962800145149231
seq-plr-c;qb9k2mca;2000;49806;50000;0.9961199760437012
seq-plr-c;qb9k2mca;510;49843;50000;0.9968600273132324
seq-plr-c;ugmee93s;1010;49847;50000;0.996940016746521
seq-plr-c;ugmee93s;10;34329;40960;0.8381103277206421
seq-plr-c;ugmee93s;1510;49787;50000;0.9957399964332581
seq-plr-c;ugmee93s;2000;49802;50000;0.9960399866104126
seq-plr-c;ugmee93s;510;49826;50000;0.9965199828147888
seq-plr-c;v8ew0g6m;1010;49839;50000;0.9967799782752991
seq-plr-c;v8ew0g6m;10;30830;36864;0.8363173007965088
seq-plr-c;v8ew0g6m;1510;49822;50000;0.9964399933815002
seq-plr-c;v8ew0g6m;2000;49827;50000;0.9965400099754333
seq-plr-c;v8ew0g6m;510;49840;50000;0.9968000054359436
seq-plr-c;z7vslybv;1010;49825;50000;0.9965000152587891
seq-plr-c;z7vslybv;10;23999;28672;0.8370186686515808
seq-plr-c;z7vslybv;1510;49824;50000;0.9964799880981445
seq-plr-c;z7vslybv;2000;49817;50000;0.9963399767875671
seq-plr-c;z7vslybv;510;49848;50000;0.9969599843025208
seq-plr-i;0512rluf;1010;43075;50000;0.8615000247955322
seq-plr-i;0512rluf;10;984;36864;0.02669270895421505
seq-plr-i;0512rluf;1510;49790;50000;0.9958000183105469
seq-plr-i;0512rluf;2000;49771;50000;0.995419979095459
seq-plr-i;0512rluf;510;19160;50000;0.3831999897956848
seq-plr-i;41x0oy7r;1010;43584;50000;0.8716800212860107
seq-plr-i;41x0oy7r;10;1108;40960;0.02705078199505806
seq-plr-i;41x0oy7r;1510;49780;50000;0.9955999851226807
seq-plr-i;41x0oy7r;2000;49755;50000;0.9951000213623047
seq-plr-i;41x0oy7r;510;20389;50000;0.4077799916267395
seq-plr-i;97w2htk2;1010;42052;50000;0.8410400152206421
seq-plr-i;97w2htk2;10;845;32768;0.025787353515625
seq-plr-i;97w2htk2;1510;49760;50000;0.995199978351593
seq-plr-i;97w2htk2;2000;49745;50000;0.9948999881744385
seq-plr-i;97w2htk2;510;19454;50000;0.3890799880027771
seq-plr-i;m1kws6kg;1010;41487;50000;0.8297399878501892
seq-plr-i;m1kws6kg;10;748;28672;0.02608816884458065
seq-plr-i;m1kws6kg;1510;49772;50000;0.9954400062561035
seq-plr-i;m1kws6kg;2000;49783;50000;0.9956600069999695
seq-plr-i;m1kws6kg;510;19855;50000;0.3971000015735626
seq-plr-i;t9tu0kn3;1010;45564;50000;0.9112799763679504
seq-plr-i;t9tu0kn3;10;1009;36864;0.0273708775639534
seq-plr-i;t9tu0kn3;1510;49741;50000;0.9948199987411499
seq-plr-i;t9tu0kn3;2000;49721;50000;0.9944199919700623
seq-plr-i;t9tu0kn3;510;20504;50000;0.4100799858570099
rw-plr-c;g6y8ubcq;10;24404;28672;0.8511439561843872
rw-plr-c;n860hpj8;10;34845;40960;0.8507080078125
seq-accel_full-c;54s9hpei;1010;49869;50000;0.9973800182342529
seq-accel_full-c;54s9hpei;10;34329;40960;0.8381103277206421
seq-accel_full-c;54s9hpei;1510;49859;50000;0.9971799850463867
seq-accel_full-c;54s9hpei;2000;49871;50000;0.9974200129508972
seq-accel_full-c;54s9hpei;510;49868;50000;0.9973599910736084
seq-accel_full-c;7iy095xl;1010;49883;50000;0.9976599812507629
seq-accel_full-c;7iy095xl;10;27735;36864;0.7523600459098816
seq-accel_full-c;7iy095xl;1510;49894;50000;0.9978799819946289
